Observation,Place,Rank
6.8,2,1
6.9,2,2
7.1,2,3.5
7.1,2,3.5
7.3,2,6
7.3,2,6
7.3,2,6
7.4,2,8.5
7.4,2,8.5
7.5,2,11
7.5,2,11
7.5,2,11
7.6,2,14.5
7.6,2,14.5
7.6,2,14.5
7.6,2,14.5
7.7,2,18.5
7.7,2,18.5
7.7,2,18.5
7.7,2,18.5
7.8,2,21
8,1,22.5
8,2,22.5
8.1,2,24.5
8.1,2,24.5
8.2,1,26
8.3,1,27
8.4,1,29.5
8.4,1,29.5
8.4,2,29.5
8.4,2,29.5
8.5,2,32
8.8,1,33.5
8.8,2,33.5
8.9,1,36.5
8.9,2,36.5
8.9,2,36.5
8.9,2,36.5
9,1,39
9.1,1,40.5
9.1,1,40.5
9.2,2,42.5
9.2,2,42.5
9.5,1,44
9.6,1,46
9.6,1,46
9.6,1,46
9.7,1,50.5
9.7,1,50.5
9.7,1,50.5
9.7,2,50.5
9.7,2,50.5
9.7,2,50.5
9.8,1,54
9.9,2,55
10.1,1,56
10.2,1,58.5
10.2,1,58.5
10.2,1,58.5
10.2,2,58.5
10.3,1,62
10.3,1,62
10.3,1,62
10.4,1,64.5
10.4,2,64.5
10.6,1,66
10.7,1,69
10.7,1,69
10.7,2,69
10.7,2,69
10.7,2,69
10.8,1,73
10.8,1,73
10.8,1,73
10.9,1,75.5
10.9,2,75.5
11,1,78
11,1,78
11,1,78
11.1,1,80
11.2,1,82
11.2,1,82
11.2,1,82
11.3,1,86.5
11.3,1,86.5
11.3,1,86.5
11.3,2,86.5
11.3,2,86.5
11.3,2,86.5
11.4,1,90.5
11.4,2,90.5
11.5,1,92.5
11.5,1,92.5
11.6,1,94
11.7,1,95.5
11.7,2,95.5
11.8,1,98
11.8,2,98
11.8,2,98
11.9,1,101
11.9,2,101
11.9,2,101
12,1,103.5
12,1,103.5
12.1,2,105
12.2,2,106
12.3,1,107.5
12.3,2,107.5
12.4,2,109
12.5,1,110.5
12.5,2,110.5
12.6,1,113
12.6,2,113
12.6,2,113
12.7,1,115
12.8,2,116
12.9,2,117
13.1,1,118
13.2,1,120.5
13.2,2,120.5
13.2,2,120.5
13.2,2,120.5
13.3,2,123
13.4,2,125
13.4,2,125
13.4,2,125
13.5,2,127
13.6,2,128
13.8,1,130
13.8,1,130
13.8,2,130
13.9,1,133.5
13.9,2,133.5
13.9,2,133.5
13.9,2,133.5
14,1,136.5
14,2,136.5
14.1,1,138.5
14.1,2,138.5
14.2,2,140
14.3,1,141.5
14.3,2,141.5
14.6,1,143
14.7,1,144
14.9,2,145
15.1,1,146
15.2,1,147
15.6,1,148
16,1,149
16.1,1,150
16.6,1,151
26,2,152
